"","SHIP_ID","ship_type","SHIPNAME","port","FLAG","position"
"135",156246,"Tanker","MARINUS","Gdynia","DK","54.79558 18.92765 57.60408 11.61143 550912.045317894"
"136",156246,"Tanker","MARINUS","gothenborg","DK","54.79558 18.92765 57.60408 11.61143 550912.045317894"
"137",156323,"Tanker","LEXUS","gothenborg","DK","57.7485 11.62933 57.74821 11.60452 1477.71721338065"
"138",156348,"Fishing","STELLA NOVA","gothenborg","DK","57.7071 11.65927 57.70704 11.6593 6.91753788143666"
"139",156373,"Tanker","SCORPIUS","gothenborg","DK","57.65641 11.74777 57.64573 11.70345 2901.24578342525"
"140",156758,"Cargo","ANGLIA SEAWAYS","Gdańsk","DK","54.79479 18.94468 54.78513 18.9612 1511.85346895253"
"141",156758,"Cargo","ANGLIA SEAWAYS","Gdynia","DK","54.79479 18.94468 54.78513 18.9612 1511.85346895253"
"142",157040,"Tanker","NAUTILUS","gothenborg","DK","57.6547 11.73835 57.65019 11.71205 1648.61308964572"
"143",157057,"Tanker","NEPTUNUS","Gdańsk","DK","54.79743 18.89334 57.60192 11.63235 547846.948721483"
"144",157057,"Tanker","NEPTUNUS","Gdynia","DK","54.79743 18.89334 57.60192 11.63235 547846.948721483"
"145",157057,"Tanker","NEPTUNUS","gothenborg","DK","54.79743 18.89334 57.60192 11.63235 547846.948721483"
"146",157062,"Tanker","NIMBUS","gothenborg","DK","57.60022 11.64145 57.60243 11.66862 1642.99743063794"
"147",157070,"Cargo","FREESIA SEAWAYS","gothenborg","DK","57.62766 11.68233 57.64865 11.70891 2825.80138354544"
"148",157073,"Cargo","BEGONIA SEAWAYS","gothenborg","DK","57.65199 11.72603 57.65701 11.75727 1947.06476638355"
"149",157110,"Cargo","MAGNOLIA SEAWAYS","gothenborg","DK","57.61156 11.66525 57.62883 11.68972 2416.11433202091"
"150",158315,"Fishing","R 355 TRINE LOUISE","Gdynia","DK","54.79691 18.41784 54.79491 18.41795 222.751920588671"
"151",158394,"Tanker","HANNE THERESA","gothenborg","DK","57.60177 11.64016 57.60037 11.65048 636.418166944176"
"152",158493,"Fishing","STJARNVIK","gothenborg","SE","57.65093 11.68491 57.63983 11.68664 1240.53148928668"
"153",158628,"Cargo","PETUNIA SEAWAYS","gothenborg","DK","57.65259 11.72198 57.64103 11.69722 1960.49763083938"
"154",158740,"Cargo","PRIMULA SEAWAYS","gothenborg","DK","57.63254 11.69205 57.65028 11.71538 2417.61776988139"
"155",158750,"Fishing","R 222 BORNOE","Gdynia","DK","54.79729 18.41826 54.79617 18.42855 673.465816621829"
"156",159287,"Cargo","FICARIA SEAWAYS","gothenborg","DK","57.65739 11.75459 57.65243 11.72356 1933.11870557137"
"157",159418,"Cargo","BIRTHE BRES","gothenborg","DK","57.66332 11.77958 57.67889 11.81503 2735.33762883324"
"158",159543,"Tanker","SELANDIA SWAN","Kalingrad","DK","54.63252 19.90066 54.63334 19.92978 1882.69686206149"
"159",159701,"Tanker","AALBORG","gothenborg","DK","57.60052 11.6314 57.6015 11.69333 3704.35017799539"
"160",159706,"Tanker","COPENHAGEN","gothenborg","DK","57.92383 11.62883 57.92619 11.6538 1502.7985122718"
"161",181427,"Cargo","MISANA","St. Petersburg","FI","59.91617 30.02817 59.912 30.04833 1219.78213721241"
"162",181730,"Cargo","HVITANES","St. Petersburg","FO","59.91454 30.03516 59.91746 30.02093 859.954798511445"
"163",181746,"Tanker","VINGA SAFIR","gothenborg","FO","57.60564 11.60405 57.60131 11.66084 3429.27197849614"
"164",181857,"Fishing","KAPITAN GERASHCHENKO","Gdynia","RU","54.53149 18.68513 54.53154 18.70719 1428.12206820861"
"165",181857,"Fishing","KAPITAN GERASHCHENKO","Gdańsk","RU","54.53149 18.68513 54.53154 18.70719 1428.12206820861"
"166",182321,"Tanker","NORTHERN OCEAN","gothenborg","FO","57.61015 11.60678 57.61041 11.62854 1301.00311483092"
"167",182333,"Cargo","TRADER BULK","gothenborg","FO","57.60003 11.65679 57.60091 11.68952 1959.38049715052"
"168",182341,"Cargo","SILVER PEARL","St. Petersburg","BS","59.91338 30.04178 59.90694 30.07326 1901.87260600776"
"169",182351,"Tanker","FURE NORD","gothenborg","FO","57.68709 11.87123 57.67256 11.79428 4867.67736194151"
"170",182353,"Cargo","EYSTNES","St. Petersburg","FO","59.91605 30.02825 59.91299 30.04387 937.990924849153"
"171",182358,"Tug","FRANKLIN","gothenborg","SE","57.74832 11.61463 57.74839 11.63724 1346.38309771686"
"172",182370,"Cargo","NAVEN","gothenborg","FO","57.95989 11.71741 57.93928 11.68787 2886.00810516343"
"173",182374,"Tug","BOB","gothenborg","FO","57.99959 11.75667 57.92059 11.60003 12782.9792958679"
"174",182384,"Tug","SVITZER ODEN","gothenborg","FO","57.91877 11.60117 57.83373 11.60234 9471.62395257769"
"175",182387,"Tug","SVITZER TYR","gothenborg","FO","57.60295 11.60271 57.60198 11.65766 3287.0581870724"
"176",182391,"Cargo","HAUKUR","Klaipeda","FO","55.72101 21.10265 55.72609 21.08812 1074.01696077918"
"177",182418,"Cargo","TIDAN","gothenborg","FO","57.60259 11.65599 55.71618 20.80508 598533.818099479"
"178",182418,"Cargo","TIDAN","Klaipeda","FO","57.60259 11.65599 55.71618 20.80508 598533.818099479"
"179",182425,"Cargo","EKEN","gothenborg","FO","57.99507 12.12761 57.98357 12.12594 1284.64426295088"
"180",182428,"Cargo","VINGAREN","Klaipeda","FO","55.75435 20.80184 59.92171 30.00018 715794.892876745"
"181",182428,"Cargo","VINGAREN","St. Petersburg","FO","55.75435 20.80184 59.92171 30.00018 715794.892876745"
"182",182431,"Tug","SVITZER GAIA","gothenborg","FO","57.83505 11.60139 57.92107 11.61045 9595.58972393541"
"183",182435,"Tug","SVITZER GEO","gothenborg","FO","57.68212 11.82458 57.67896 11.80486 1227.97925752894"
"184",183675,"Cargo","CITY OF ROME","gothenborg","GB","57.61467 11.66392 57.62616 11.68129 1647.701648819"
"185",184318,"Tug","DC OSTEND","Gdańsk","NL","54.79695 18.79787 54.79846 18.7637 2204.08633232403"
"186",184318,"Tug","DC OSTEND","Gdynia","NL","54.79695 18.79787 54.79846 18.7637 2204.08633232403"
"187",188790,"Tanker","GIJON KNUTSEN","gothenborg","GB","57.6765 11.74267 57.67817 11.71917 1414.38227100462"
"188",188849,"Cargo","ANINA","gothenborg","PT","57.6115 11.634 57.61167 11.6025 1882.90667255331"
"189",188914,"Cargo","ADELINA D","gothenborg","GB","57.6635 11.77983 57.6565 11.75017 1934.51687913762"
"190",190564,"Pleasure","CELESTE OF SOLENT","gothenborg","GB","57.67101 11.84939 57.67095 11.84949 8.95898717401581"
"191",191974,"Tanker","HELENA KOSAN","gothenborg","GB","57.97732 11.74162 57.96961 11.72932 1125.69738480063"
"192",192887,"Tanker","CPO GERMANY","St. Petersburg","GB","59.91166 30.05059 59.91595 30.02949 1273.53067334881"
"193",194104,"Unspecified","TAMINA SPIRIT","gothenborg","GB","57.95872 11.70883 57.94043 11.68542 2464.01620405415"
"194",195991,"Cargo","KAREN C","Gdańsk","GB","54.53817 18.68033 54.53733 18.6585 1416.09662024783"
"195",195991,"Cargo","KAREN C","Gdynia","GB","54.53817 18.68033 54.53733 18.6585 1416.09662024783"
"196",196066,"Tug","BOA ODIN","Gdańsk","NO","54.55005 18.81425 54.54596 18.80762 625.581318208117"
"197",196066,"Tug","BOA ODIN","Gdynia","NO","54.55005 18.81425 54.54596 18.80762 625.581318208117"
"198",197150,"Tanker","MARIE KIRK","gothenborg","GB","57.63437 11.68732 57.62285 11.67487 1483.01396205078"
"199",200327,"Tanker","BIRGIT KNUTSEN","Klaipeda","GB","55.79769 20.80321 55.71124 20.98247 14809.6294113515"
"200",201103,"Passenger","STENA BALTICA","Gdańsk","GB","54.56133 18.82333 54.53783 18.7605 4834.52317112236"
"201",201103,"Passenger","STENA BALTICA","Gdynia","GB","54.56133 18.82333 54.53783 18.7605 4834.52317112236"
"202",201104,"Tug","EILEEN MCLOUGHLIN","Gdańsk","GB","54.53 18.80567 54.58433 18.89067 8174.17348968968"
"203",201975,"Tug","MEWO NAVIGATOR","Gdynia","GB","54.78692 18.54412 54.78175 18.55804 1064.5520762942"
"204",201975,"Tug","MEWO NAVIGATOR","Gdańsk","GB","54.78692 18.54412 54.78175 18.55804 1064.5520762942"
"205",204253,"Tanker","KEY BREEZE","gothenborg","GI","57.92921 11.66758 57.92495 11.64325 1517.69599597432"
"206",204358,"Tanker","BOTHNIA","gothenborg","GI","57.66153 11.77267 57.65619 11.74696 1645.93911192595"
"207",204384,"Tanker","ORAMALIA","Gdynia","GI","54.56119 18.85031 54.57315 18.87065 1871.70831705406"
"208",204384,"Tanker","ORAMALIA","Gdańsk","GI","54.56119 18.85031 54.57315 18.87065 1871.70831705406"
"209",204416,"Cargo","STORTEBEKER","St. Petersburg","GI","59.90795 30.06853 59.90365 30.0899 1288.22513987276"
"210",204427,"Cargo","PHANTOM","St. Petersburg","GI","59.92157 30.00041 54.78657 18.99969 872988.857035952"
"211",204427,"Cargo","PHANTOM","Gdańsk","GI","59.92157 30.00041 54.78657 18.99969 872988.857035952"
"212",204427,"Cargo","PHANTOM","Gdynia","GI","59.92157 30.00041 54.78657 18.99969 872988.857035952"
"213",204431,"Cargo","SAXUM","Klaipeda","GI","55.71747 21.10957 55.72813 21.0776 2333.34419828843"
"214",204546,"Cargo","MSC AMY","gothenborg","MT","57.68117 11.8255 57.67567 11.80383 1430.64400105165"
"215",204565,"Cargo","PINTA","gothenborg","GI","57.8814 12.02976 57.87129 12.02258 1203.90888324737"
"216",204772,"Cargo","FRI PORSGRUNN","St. Petersburg","CY","59.90734 30.07189 59.90305 30.09235 1240.68903156643"
"217",204901,"Cargo","NORDEROOG","St. Petersburg","GI","59.88723 30.17037 59.90061 30.10557 3921.76011243557"
"218",205264,"Cargo","SUEDEROOG","St. Petersburg","GI","59.87295 30.20375 59.89033 30.22363 2233.52979405377"
"219",205458,"Cargo","AMBER SPIRIT","Kalingrad","AG","54.65795 19.84142 54.63288 19.89483 4435.85579556989"
"220",205520,"Cargo","MULTIMAR","Gdańsk","CY","54.78885 18.91414 54.78098 18.93245 1468.05663380609"
"221",205553,"Cargo","HOOGE","St. Petersburg","GI","59.9176 30.02119 59.91205 30.04817 1631.09663665765"
"222",205637,"Cargo","LIV KRISTIN","Gdańsk","GI","54.6979 18.96096 54.71239 18.92755 2690.75523796685"
"223",205637,"Cargo","LIV KRISTIN","Gdynia","GI","54.6979 18.96096 54.71239 18.92755 2690.75523796685"
"224",205767,"Cargo","LISTER","St. Petersburg","FO","59.92163 30.00039 59.91781 30.01933 1141.70019011518"
"225",205790,"Tanker","KEY BORA","Kalingrad","GI","54.63927 20.00914 54.63808 19.99305 1047.30898867981"
"226",205932,"Tanker","KEY FJORD","Kalingrad","GI","54.63268 19.898 54.63334 19.93015 2077.44659340521"
"227",205940,"Tanker","KEY BAY","gothenborg","GI","57.63471 11.68745 57.62228 11.67425 1593.21300044062"
"228",205994,"Cargo","WYBELSUM","St. Petersburg","GI","59.9141 30.03724 59.91015 30.05674 1176.39737867062"
"229",206401,"Cargo","TRANSOSPREY","Gdańsk","GI","54.72713 18.99946 59.92068 30.0053 877880.823666864"
"230",206401,"Cargo","TRANSOSPREY","Gdynia","GI","54.72713 18.99946 59.92068 30.0053 877880.823666864"
"231",206401,"Cargo","TRANSOSPREY","St. Petersburg","GI","54.72713 18.99946 59.92068 30.0053 877880.823666864"
"232",206519,"Cargo","TASMAN","gothenborg","GI","57.98169 11.74611 57.96387 11.71894 2554.29194933205"
"233",206618,"Tanker","ORAKAI","St. Petersburg","GI","59.91048 30.0548 59.91547 30.03042 1472.92154277234"
"234",206630,"Tanker","KATELINA","gothenborg","GI","57.63342 11.68755 57.62231 11.67482 1452.38953356544"
"235",206635,"Cargo","ARA ROTTERDAM","Kalingrad","GI","55.00592 19.83046 55.61112 20.80787 91605.9619637788"
